Date,Product,Region,Quantity,Revenue,OrderID
2025-11-14,Laptop,West,5,6000,76617
2025-05-02,Laptop,East,2,2400,56175
2025-05-06,Tablet,West,1,500,55543
2025-08-25,Monitor,North,5,1500,63222
2025-07-11,Monitor,South,5,1500,69638
2025-03-17,Phone,West,3,2400,23284
2025-03-27,Laptop,North,4,4800,64340
2025-02-16,Laptop,South,4,4800,39124
2025-07-23,Phone,South,5,4000,72752
2025-09-11,Tablet,North,2,1000,33049
2025-09-03,Monitor,West,2,600,50158
2025-09-07,Headphones,South,1,150,51975
2025-11-21,Monitor,West,2,600,59115
2025-06-09,Headphones,West,4,600,82369
2025-06-12,Keyboard,North,1,90,80588
2025-06-28,Headphones,North,4,600,48304
2025-06-17,Phone,East,4,3200,30764
2025-01-12,Tablet,South,5,2500,37350
2025-12-03,Phone,West,5,4000,25305
2025-03-31,Tablet,South,3,1500,30358
2025-07-15,Phone,North,2,1600,36092
2025-03-16,Monitor,West,4,1200,43496
2025-10-04,Monitor,North,4,1200,54425
2025-12-23,Laptop,West,3,3600,93042
2025-02-05,Phone,North,5,4000,54811
2025-07-02,Monitor,East,1,300,78450
2025-12-27,Tablet,North,1,500,24397
2025-03-25,Laptop,South,5,6000,76234
2025-01-19,Laptop,West,4,4800,73932
2025-08-21,Headphones,West,1,150,45270
2025-10-11,Tablet,East,4,2000,64098
2025-05-24,Monitor,North,3,900,99112
2025-02-22,Laptop,East,5,6000,99780
2025-02-11,Phone,East,2,1600,19348
2025-06-12,Monitor,East,3,900,16801
2025-08-27,Keyboard,North,2,180,92873
2025-09-10,Tablet,East,5,2500,60343
2025-06-19,Laptop,South,3,3600,29065
2025-07-13,Monitor,North,5,1500,64693
2025-12-05,Monitor,North,4,1200,67854
2025-11-23,Laptop,North,4,4800,45909
2025-09-09,Headphones,North,4,600,36790
2025-04-01,Phone,South,3,2400,25485
2025-06-22,Monitor,South,4,1200,13709
2025-02-27,Keyboard,West,5,450,35470
2025-12-27,Laptop,East,5,6000,90219
2025-07-09,Laptop,East,4,4800,38016
2025-11-08,Laptop,South,5,6000,77641
2025-02-13,Monitor,West,5,1500,44620
2025-10-30,Monitor,West,5,1500,71642
2025-09-09,Monitor,West,3,900,40354
2025-01-20,Laptop,South,1,1200,62528
2025-01-14,Laptop,North,3,3600,29087
2025-01-12,Phone,West,4,3200,33959
2025-06-05,Monitor,West,2,600,56427
2025-06-13,Phone,West,2,1600,41921
2025-01-28,Keyboard,North,1,90,14835
2025-07-11,Headphones,South,1,150,48088
2025-07-31,Monitor,West,5,1500,37532
2025-02-15,Headphones,North,2,300,66178
2025-09-13,Monitor,East,1,300,75545
2025-11-08,Tablet,South,3,1500,47892
2025-04-29,Laptop,South,1,1200,18415
2025-08-27,Laptop,East,5,6000,33833
2025-03-04,Laptop,South,3,3600,82474
2025-06-26,Monitor,North,2,600,85880
2025-04-09,Laptop,North,4,4800,28384
2025-07-16,Monitor,South,3,900,60612
2025-01-23,Monitor,North,5,1500,14809
2025-03-24,Laptop,North,1,1200,48765
2025-01-01,Headphones,North,5,750,67091
2025-10-15,Phone,West,2,1600,68017
2025-04-28,Headphones,East,2,300,47131
2025-02-23,Keyboard,North,3,270,52808
2025-04-22,Monitor,North,2,600,63682
2025-04-13,Tablet,West,4,2000,16949
2025-11-02,Phone,South,3,2400,71886
2025-11-04,Laptop,South,1,1200,52318
2025-01-30,Phone,East,1,800,49811
2025-05-18,Laptop,South,1,1200,29963
2025-12-06,Monitor,South,5,1500,15569
2025-07-24,Tablet,East,3,1500,22015
2025-04-21,Laptop,East,3,3600,21637
2025-01-08,Keyboard,West,4,360,51240
2025-07-14,Headphones,East,5,750,85697
2025-03-02,Phone,East,3,2400,67108
2025-01-05,Phone,West,2,1600,46668
2025-01-22,Monitor,South,1,300,26907
2025-12-12,Tablet,South,1,500,91818
2025-03-14,Phone,North,1,800,53221
2025-08-27,Tablet,East,5,2500,14432
2025-01-26,Keyboard,North,1,90,89714
2025-09-10,Keyboard,East,2,180,38699
2025-03-19,Phone,North,2,1600,14621
2025-07-06,Headphones,East,3,450,28030
2025-08-26,Headphones,East,4,600,98869
2025-08-15,Headphones,East,1,150,48518
2025-01-28,Phone,East,1,800,60448
2025-08-19,Tablet,South,4,2000,14632
2025-05-25,Monitor,West,1,300,17561
2025-03-08,Laptop,North,2,2400,36734
2025-08-16,Tablet,South,1,500,33275
2025-03-24,Phone,North,5,4000,72981
2025-06-29,Phone,West,2,1600,85703
2025-11-11,Monitor,South,5,1500,38024
2025-10-16,Monitor,South,5,1500,11605
2025-04-22,Keyboard,South,3,270,86125
2025-04-05,Laptop,East,3,3600,34818
2025-01-31,Monitor,West,2,600,51427
2025-08-08,Headphones,West,1,150,94471
2025-03-03,Laptop,South,3,3600,89239
2025-01-26,Headphones,North,4,600,16469
2025-04-28,Keyboard,East,4,360,59376
2025-01-20,Laptop,West,1,1200,88477
2025-11-16,Tablet,North,3,1500,42254
2025-12-22,Monitor,East,3,900,30128
2025-06-27,Phone,North,2,1600,12219
2025-01-13,Phone,West,1,800,11342
2025-04-11,Laptop,North,1,1200,89767
2025-02-07,Headphones,South,1,150,93524
2025-11-14,Keyboard,West,2,180,77444
2025-05-17,Phone,West,3,2400,15415
2025-11-16,Tablet,West,5,2500,18007
2025-09-24,Laptop,North,4,4800,98861
2025-10-18,Monitor,North,5,1500,29282
2025-03-19,Phone,South,4,3200,26984
2025-08-25,Phone,North,2,1600,53303
2025-11-24,Tablet,West,3,1500,83340
2025-12-19,Laptop,North,1,1200,44016
2025-11-05,Headphones,East,3,450,51157
2025-05-14,Headphones,East,3,450,34519
2025-02-11,Keyboard,East,5,450,15408
2025-08-19,Headphones,West,5,750,20789
2025-04-07,Monitor,North,3,900,92870
2025-10-16,Tablet,West,2,1000,42265
2025-01-05,Headphones,South,1,150,56197
2025-10-21,Monitor,East,4,1200,81895
2025-07-03,Monitor,West,5,1500,24382
2025-11-20,Keyboard,North,2,180,26478
2025-04-25,Headphones,West,4,600,81315
2025-01-11,Tablet,South,2,1000,86077
2025-12-29,Keyboard,South,5,450,83319
2025-07-29,Laptop,North,4,4800,37306
2025-12-22,Keyboard,North,5,450,10126
2025-04-16,Laptop,West,2,2400,65176
2025-02-20,Monitor,South,1,300,13797
2025-09-24,Laptop,South,5,6000,46244
2025-12-12,Tablet,West,1,500,63173
2025-02-24,Headphones,West,5,750,21694
2025-11-05,Laptop,South,4,4800,49224
2025-04-27,Phone,North,3,2400,35150
2025-09-01,Laptop,South,3,3600,83509
2025-07-29,Headphones,South,3,450,46368
2025-05-08,Headphones,East,4,600,89026
2025-07-01,Laptop,East,4,4800,55765
2025-12-10,Laptop,North,5,6000,14757
2025-06-03,Keyboard,South,5,450,37696
2025-12-03,Keyboard,North,1,90,62853
2025-12-08,Keyboard,East,5,450,72823
2025-02-18,Laptop,West,5,6000,51949
2025-08-03,Headphones,East,3,450,12079
2025-06-07,Monitor,North,5,1500,52460
2025-10-13,Headphones,South,1,150,74077
2025-06-24,Phone,South,4,3200,48000
2025-04-24,Tablet,South,3,1500,75155
2025-09-21,Monitor,East,3,900,88623
2025-09-23,Phone,East,2,1600,62603
2025-03-28,Keyboard,West,2,180,95382
2025-12-15,Laptop,North,3,3600,40678
2025-09-12,Monitor,West,1,300,95230
2025-08-17,Headphones,East,1,150,95595
2025-09-21,Phone,East,3,2400,22175
2025-06-14,Tablet,North,2,1000,16150
2025-11-26,Laptop,East,5,6000,63394
2025-04-22,Monitor,East,4,1200,60460
2025-07-07,Phone,South,1,800,33236
2025-01-11,Phone,East,2,1600,86918
2025-01-20,Monitor,North,1,300,72516
2025-12-21,Keyboard,South,4,360,39975
2025-03-22,Phone,South,3,2400,96143
2025-08-12,Laptop,South,3,3600,37856
2025-01-14,Laptop,West,2,2400,70774
2025-07-20,Tablet,South,3,1500,61693
2025-01-04,Phone,South,5,4000,86908
2025-04-08,Monitor,East,2,600,71268
2025-02-11,Keyboard,North,2,180,49952
2025-06-14,Laptop,South,2,2400,88411
2025-03-28,Monitor,South,5,1500,61226
2025-11-09,Tablet,East,2,1000,56828
2025-11-05,Phone,North,1,800,45737
2025-07-09,Phone,South,2,1600,48709
2025-12-29,Laptop,East,5,6000,21555
2025-10-09,Monitor,North,3,900,99599
2025-06-13,Laptop,East,3,3600,38769
2025-02-24,Tablet,South,5,2500,99399
2025-10-16,Phone,West,4,3200,77298
2025-09-01,Headphones,North,3,450,55420
2025-07-20,Phone,South,5,4000,25048
2025-10-23,Laptop,North,1,1200,10060
2025-04-14,Phone,North,3,2400,55186
2025-08-17,Keyboard,West,3,270,95469
2025-04-12,Phone,West,3,2400,79626
2025-11-01,Monitor,North,2,600,46408
2025-11-07,Laptop,East,4,4800,11341
2025-03-21,Headphones,West,5,750,21344
2025-08-03,Monitor,South,1,300,65761
2025-03-30,Keyboard,East,3,270,37935
2025-09-23,Laptop,East,2,2400,66276
2025-03-27,Phone,East,5,4000,34070
2025-05-17,Headphones,West,2,300,51786
2025-08-03,Monitor,South,4,1200,35510
2025-04-13,Laptop,South,3,3600,45435
2025-07-07,Monitor,South,3,900,12983
2025-07-02,Keyboard,East,1,90,54547
2025-12-15,Tablet,North,5,2500,37345
2025-06-10,Monitor,South,4,1200,90765
2025-11-07,Headphones,South,2,300,39430
2025-09-26,Monitor,South,3,900,49974
2025-10-29,Keyboard,North,1,90,71916
2025-11-14,Monitor,West,1,300,43039
2025-08-24,Laptop,South,1,1200,34574
2025-12-25,Keyboard,North,1,90,42733
2025-06-26,Headphones,North,2,300,65619
2025-05-26,Tablet,North,1,500,67775
2025-07-12,Monitor,South,1,300,14494
2025-11-01,Laptop,West,4,4800,53001
2025-10-20,Monitor,North,3,900,47573
2025-10-22,Tablet,West,3,1500,39757
2025-11-29,Phone,North,4,3200,72211
2025-02-28,Keyboard,North,5,450,74754
2025-11-26,Headphones,South,1,150,92856
2025-08-29,Phone,East,5,4000,60948
2025-02-23,Laptop,North,3,3600,72483
2025-08-29,Monitor,East,2,600,94386
2025-06-27,Phone,South,1,800,34578
2025-06-09,Headphones,South,5,750,17287
2025-03-30,Laptop,West,5,6000,27674
2025-04-15,Headphones,East,4,600,75160
2025-07-14,Laptop,South,4,4800,39192
2025-02-09,Laptop,North,3,3600,60106
2025-08-14,Keyboard,East,3,270,13972
2025-06-25,Phone,South,5,4000,19903
2025-10-11,Monitor,North,1,300,19516
2025-08-12,Tablet,North,3,1500,29129
2025-11-19,Phone,West,3,2400,96231
2025-05-27,Keyboard,North,3,270,75082
2025-10-31,Laptop,North,3,3600,61756
2025-12-11,Monitor,South,4,1200,96206
2025-06-04,Tablet,West,5,2500,58874
2025-02-14,Phone,North,3,2400,64302
2025-01-23,Phone,South,3,2400,87236
2025-06-07,Phone,West,2,1600,58845
2025-03-18,Monitor,West,2,600,97263
2025-01-13,Tablet,East,1,500,44832
2025-12-26,Phone,West,5,4000,11007
2025-11-22,Headphones,South,2,300,97272
2025-08-12,Phone,East,4,3200,36660
2025-10-05,Keyboard,West,4,360,17491
2025-08-07,Laptop,West,1,1200,83609
2025-07-12,Tablet,South,3,1500,77889
2025-09-27,Monitor,West,4,1200,97266
2025-01-07,Monitor,East,1,300,17813
2025-03-20,Headphones,East,2,300,54569
2025-08-14,Monitor,West,1,300,99186
2025-02-08,Monitor,North,3,900,33411
2025-10-15,Phone,East,4,3200,13093
2025-01-27,Headphones,North,4,600,43756
2025-01-21,Monitor,East,4,1200,58901
2025-05-27,Laptop,North,3,3600,15626
2025-09-14,Phone,West,2,1600,11980
2025-06-12,Laptop,North,4,4800,36385
2025-09-28,Keyboard,West,3,270,31563
2025-05-25,Monitor,North,3,900,95553
2025-07-18,Headphones,North,4,600,15655
2025-11-12,Phone,East,4,3200,10526
2025-06-02,Tablet,South,1,500,38541
2025-08-24,Keyboard,West,1,90,75455
2025-11-15,Tablet,South,5,2500,59268
2025-12-10,Headphones,West,5,750,70112
2025-03-13,Monitor,South,2,600,93309
2025-04-05,Tablet,West,3,1500,31804
2025-08-05,Laptop,West,1,1200,40087
2025-09-24,Tablet,East,1,500,53408
2025-03-17,Laptop,South,4,4800,58787
2025-06-10,Phone,West,2,1600,73483
2025-12-19,Phone,North,1,800,55004
2025-03-18,Keyboard,South,2,180,91061
2025-12-25,Phone,South,2,1600,91905
2025-05-23,Phone,South,4,3200,72768
2025-12-26,Headphones,North,3,450,59786
2025-01-09,Tablet,North,1,500,74881
2025-07-23,Phone,West,4,3200,23629
2025-04-21,Headphones,East,3,450,56163
2025-07-27,Keyboard,South,2,180,91941
2025-01-03,Laptop,West,2,2400,46877
2025-01-12,Keyboard,North,1,90,89148
2025-08-31,Phone,East,4,3200,80316
2025-08-09,Monitor,East,3,900,99899
2025-03-23,Tablet,South,3,1500,10661
2025-02-06,Laptop,East,3,3600,70315
2025-07-21,Headphones,East,5,750,26309
2025-07-26,Laptop,East,4,4800,82541
2025-08-01,Phone,North,4,3200,57908
2025-01-04,Keyboard,West,4,360,49063
2025-02-19,Laptop,East,1,1200,82099
2025-09-07,Monitor,South,4,1200,53585
2025-12-01,Phone,West,2,1600,39426
2025-07-05,Tablet,North,4,2000,58364
2025-01-18,Monitor,East,1,300,37490
2025-10-09,Keyboard,West,2,180,76061
2025-11-30,Phone,East,5,4000,74324
2025-02-10,Tablet,South,4,2000,80135
2025-08-19,Laptop,West,2,2400,79350
2025-11-22,Laptop,East,1,1200,77649
2025-06-12,Monitor,North,1,300,31927
2025-06-13,Monitor,East,3,900,62233
2025-07-14,Tablet,South,2,1000,81260
2025-09-23,Keyboard,South,1,90,52240
2025-05-13,Keyboard,West,3,270,33499
2025-01-01,Laptop,West,4,4800,95112
2025-04-17,Monitor,East,5,1500,25563
2025-06-14,Laptop,North,4,4800,89671
2025-06-05,Tablet,West,3,1500,60108
2025-11-30,Phone,North,5,4000,10281
2025-10-12,Laptop,East,3,3600,96213
2025-09-02,Headphones,North,1,150,19200
2025-06-28,Tablet,West,2,1000,51235
2025-06-30,Phone,West,3,2400,75661
2025-08-05,Phone,North,1,800,25398
2025-08-11,Headphones,South,4,600,89141
2025-12-06,Tablet,North,4,2000,11969
2025-08-22,Keyboard,East,2,180,33196
2025-12-18,Tablet,North,2,1000,58320
2025-11-07,Phone,East,2,1600,65409
2025-05-25,Phone,West,1,800,60138
2025-11-24,Laptop,South,4,4800,41890
2025-10-14,Tablet,North,5,2500,36984
2025-03-31,Tablet,West,2,1000,27087
2025-03-04,Laptop,North,1,1200,97128
2025-06-25,Monitor,North,5,1500,95150
2025-11-20,Phone,North,4,3200,14114
2025-03-23,Monitor,North,3,900,27772
2025-11-27,Laptop,West,1,1200,61924
2025-05-23,Laptop,West,2,2400,19108
2025-11-12,Monitor,North,1,300,18927
2025-10-18,Keyboard,South,2,180,86743
2025-04-20,Tablet,South,2,1000,87576
2025-01-03,Monitor,South,2,600,41348
2025-08-09,Phone,North,4,3200,31636
2025-10-31,Monitor,East,4,1200,56819
2025-09-28,Headphones,West,2,300,36987
2025-01-21,Headphones,East,5,750,97163
2025-10-08,Keyboard,East,3,270,55379
2025-10-04,Monitor,South,3,900,56881
2025-11-30,Monitor,West,5,1500,46378
2025-06-06,Keyboard,East,2,180,64691
2025-06-07,Phone,South,1,800,53596
2025-05-12,Phone,North,3,2400,54139
2025-03-15,Monitor,East,1,300,84172
2025-10-25,Keyboard,West,4,360,22149
2025-09-20,Tablet,North,4,2000,81031
2025-06-22,Phone,East,3,2400,98204
2025-04-28,Monitor,South,4,1200,62249
2025-01-09,Phone,West,2,1600,85388
2025-06-19,Laptop,South,3,3600,44084
2025-03-09,Phone,West,3,2400,46451
2025-03-01,Phone,North,2,1600,91571
2025-08-30,Monitor,East,1,300,27633
2025-06-10,Monitor,North,5,1500,26014
2025-06-09,Headphones,South,1,150,37213
2025-03-18,Monitor,North,1,300,27727
2025-10-18,Monitor,South,3,900,42117
2025-05-05,Laptop,North,3,3600,72438
2025-10-07,Keyboard,South,3,270,48467
2025-08-06,Tablet,South,5,2500,64253
2025-02-05,Monitor,North,4,1200,24210
2025-03-14,Laptop,East,1,1200,82240
2025-11-12,Phone,West,5,4000,78011
2025-01-27,Monitor,West,2,600,83794
2025-10-27,Monitor,South,3,900,84069
2025-11-22,Phone,East,4,3200,29201
2025-04-12,Laptop,East,2,2400,19686
2025-10-13,Keyboard,West,4,360,70963
2025-11-29,Monitor,East,1,300,38982
2025-07-27,Phone,South,1,800,78619
2025-05-25,Keyboard,West,4,360,20754
2025-05-24,Tablet,North,4,2000,65922
2025-04-14,Tablet,North,4,2000,72711
2025-12-30,Laptop,North,5,6000,23395
2025-08-19,Laptop,North,4,4800,75061
2025-08-14,Monitor,South,4,1200,15782
2025-04-24,Monitor,South,1,300,45585
2025-09-06,Laptop,North,3,3600,48067
2025-07-09,Phone,West,2,1600,93362
2025-05-23,Tablet,West,5,2500,71929
2025-01-12,Laptop,South,2,2400,97468
2025-10-18,Tablet,West,2,1000,73133
2025-05-14,Headphones,West,4,600,50461
2025-03-14,Monitor,East,2,600,66154
2025-05-10,Headphones,South,4,600,65249
2025-09-13,Phone,North,2,1600,84520
2025-09-10,Tablet,North,4,2000,83822
2025-09-27,Laptop,South,5,6000,21138
2025-01-25,Monitor,North,2,600,27347
2025-01-25,Keyboard,North,4,360,99099
2025-10-15,Keyboard,North,4,360,62188
2025-11-12,Tablet,West,5,2500,87866
2025-09-11,Phone,West,3,2400,81966
2025-01-05,Headphones,South,2,300,65677
2025-09-24,Phone,North,1,800,47846
2025-03-24,Laptop,East,5,6000,80984
2025-06-05,Tablet,South,3,1500,16406
2025-03-21,Keyboard,North,4,360,56851
2025-04-13,Laptop,North,4,4800,51779
2025-08-09,Keyboard,West,4,360,67009
2025-03-04,Monitor,West,5,1500,90354
2025-01-07,Headphones,West,5,750,86373
2025-05-13,Tablet,East,2,1000,73037
2025-08-07,Monitor,South,5,1500,33177
2025-11-10,Monitor,North,5,1500,32740
2025-08-30,Monitor,North,5,1500,57076
2025-06-22,Keyboard,North,3,270,63744
2025-07-07,Headphones,East,5,750,39300
2025-10-09,Tablet,West,2,1000,47487
2025-09-09,Phone,West,3,2400,24056
2025-08-09,Keyboard,North,2,180,65316
2025-02-11,Monitor,North,1,300,40911
2025-01-17,Laptop,North,1,1200,74641
2025-03-01,Monitor,North,2,600,30281
2025-08-20,Monitor,West,3,900,38602
2025-08-02,Laptop,East,1,1200,17099
2025-12-09,Monitor,East,5,1500,40111
2025-03-28,Monitor,West,5,1500,70920
2025-03-28,Headphones,North,5,750,38082
2025-06-01,Laptop,North,4,4800,98340
2025-08-20,Phone,East,4,3200,19866
2025-07-30,Headphones,West,3,450,38138
2025-09-18,Monitor,South,2,600,52533
2025-04-21,Keyboard,North,1,90,45144
2025-02-18,Keyboard,South,4,360,36189
2025-04-15,Laptop,North,2,2400,71558
2025-07-09,Phone,South,5,4000,95667
2025-05-20,Headphones,West,2,300,69765
2025-09-26,Monitor,West,4,1200,67866
2025-01-10,Laptop,West,2,2400,36806
2025-06-02,Headphones,South,4,600,59145
2025-04-24,Tablet,West,4,2000,56804
2025-06-21,Headphones,South,1,150,71332
2025-05-02,Tablet,East,1,500,47643
2025-08-21,Phone,North,5,4000,25997
2025-10-29,Tablet,East,4,2000,67941
2025-05-30,Headphones,North,4,600,58908
2025-09-15,Monitor,North,4,1200,34858
2025-02-19,Headphones,East,4,600,67804
2025-10-05,Headphones,North,5,750,76912
2025-07-03,Headphones,East,3,450,91942
2025-01-30,Keyboard,East,1,90,66447
2025-08-17,Phone,South,1,800,65147
2025-09-18,Headphones,North,4,600,72946
2025-08-12,Phone,South,3,2400,78056
2025-01-10,Monitor,West,3,900,35498
2025-03-07,Laptop,West,5,6000,94899
2025-03-27,Phone,South,2,1600,20805
2025-01-12,Laptop,South,1,1200,29873
2025-01-20,Headphones,West,3,450,99822
2025-03-11,Headphones,North,2,300,19596
2025-05-12,Keyboard,South,3,270,33705
2025-10-20,Tablet,North,5,2500,90073
2025-02-07,Tablet,West,4,2000,43848
2025-01-20,Laptop,East,4,4800,46060
2025-01-14,Headphones,West,5,750,33225
2025-02-24,Keyboard,West,2,180,26029
2025-03-23,Headphones,East,4,600,38731
2025-11-01,Tablet,East,5,2500,72539
2025-01-30,Phone,South,5,4000,53934
2025-12-22,Headphones,West,5,750,15469
2025-07-02,Laptop,East,1,1200,43937
2025-11-15,Keyboard,North,3,270,35051
2025-09-08,Headphones,North,4,600,31621
2025-10-28,Laptop,North,4,4800,59811
2025-08-28,Headphones,East,4,600,67418
2025-12-25,Laptop,South,5,6000,18329
2025-02-19,Headphones,North,3,450,16397
2025-04-28,Monitor,South,1,300,93820
2025-02-20,Monitor,East,2,600,35122
2025-10-29,Phone,East,5,4000,72812
2025-11-16,Monitor,West,1,300,35279
2025-09-18,Keyboard,South,2,180,29715
2025-05-06,Phone,East,1,800,12839
2025-11-09,Keyboard,South,1,90,23493
2025-06-23,Keyboard,West,4,360,17736
2025-01-31,Keyboard,West,1,90,55603
2025-08-01,Tablet,West,4,2000,47481
2025-12-08,Keyboard,East,3,270,44742
2025-08-08,Tablet,West,2,1000,42591
2025-07-01,Phone,North,5,4000,59733
2025-02-13,Laptop,North,4,4800,69063
2025-04-17,Keyboard,South,2,180,60026
2025-01-21,Keyboard,South,1,90,40682
2025-01-07,Tablet,East,2,1000,17927
2025-07-22,Keyboard,West,5,450,60601
2025-06-03,Keyboard,West,1,90,30644
2025-11-10,Monitor,South,5,1500,44521
2025-11-01,Headphones,East,1,150,72292
2025-06-10,Phone,North,4,3200,98553
2025-11-23,Tablet,East,1,500,72032
2025-06-01,Monitor,North,2,600,81707
2025-02-12,Laptop,East,1,1200,96544
2025-04-08,Tablet,South,2,1000,79184
2025-11-26,Monitor,North,2,600,24357
2025-04-22,Laptop,South,2,2400,75633
2025-05-24,Headphones,North,4,600,84071
2025-10-21,Keyboard,East,2,180,26994
2025-07-11,Headphones,East,1,150,47823
2025-02-01,Monitor,West,2,600,73870
2025-03-09,Tablet,West,5,2500,28133
2025-04-26,Keyboard,South,3,270,66700
2025-06-17,Phone,West,2,1600,39118
2025-03-07,Laptop,West,3,3600,52951
2025-02-13,Laptop,South,4,4800,28658
2025-09-19,Keyboard,East,1,90,61578
2025-06-27,Headphones,East,5,750,12551
2025-09-25,Phone,West,4,3200,43243
2025-10-24,Keyboard,North,5,450,17239
2025-02-24,Laptop,East,2,2400,16971
2025-09-25,Phone,East,3,2400,21116
2025-09-16,Headphones,South,3,450,14135
2025-08-08,Laptop,East,5,6000,27071
2025-04-17,Monitor,West,3,900,12591
2025-05-17,Keyboard,East,1,90,35150
2025-04-19,Monitor,North,5,1500,66481
2025-09-17,Keyboard,South,2,180,36170
2025-09-04,Headphones,North,1,150,65426
2025-12-19,Keyboard,North,4,360,34217
2025-05-13,Headphones,North,4,600,59416
2025-05-14,Headphones,West,4,600,40090
2025-12-30,Keyboard,North,5,450,91623
2025-08-14,Tablet,East,4,2000,22763
2025-10-13,Phone,West,5,4000,95751
2025-08-06,Tablet,North,5,2500,69042
2025-06-29,Phone,North,3,2400,23230
2025-12-04,Phone,East,1,800,94246
2025-06-25,Tablet,North,5,2500,65915
2025-05-19,Tablet,East,3,1500,84658
2025-10-16,Keyboard,North,2,180,11089
2025-09-05,Keyboard,East,1,90,48547
2025-05-04,Laptop,West,3,3600,97960
2025-10-30,Tablet,East,5,2500,81906
2025-11-09,Monitor,North,4,1200,58781
2025-02-08,Laptop,East,4,4800,39516
2025-07-26,Phone,East,1,800,96661
2025-09-08,Headphones,East,3,450,93297
2025-02-15,Tablet,South,4,2000,96516
2025-11-24,Tablet,East,3,1500,81678
2025-11-30,Headphones,West,1,150,18472
2025-12-10,Tablet,South,1,500,63330
2025-04-20,Headphones,East,2,300,31778
2025-07-20,Keyboard,West,5,450,58454
2025-07-25,Laptop,East,4,4800,89222
